userName,content,score,at,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
Suyito Suyito,Excellent,5,2025-04-07 06:55:26,Excellent,excellent,excellent,['excellent'],['excellent'],excellent
salsabila wafa ainunisa,"Pinterest sangat bagus, karena bisa menginspirasi gambar,",5,2025-04-07 06:49:47,Pinterest sangat bagus karena bisa menginspirasi gambar,pinterest sangat bagus karena bisa menginspirasi gambar,pinterest sangat bagus karena bisa menginspirasi gambar,"['pinterest', 'sangat', 'bagus', 'karena', 'bisa', 'menginspirasi', 'gambar']","['pinterest', 'bagus', 'menginspirasi', 'gambar']",pinterest bagus inspirasi gambar
hira,"padahal sebelumnya aman aja, tapi buat searching selalu ngebug, udh re-install berkali2 loh masih ttp aja, wifi juga aman, aneh bgt dah",2,2025-04-07 06:49:00,padahal sebelumnya aman aja tapi buat searching selalu ngebug udh reinstall berkali loh masih ttp aja wifi juga aman aneh bgt dah,padahal sebelumnya aman aja tapi buat searching selalu ngebug udh reinstall berkali loh masih ttp aja wifi juga aman aneh bgt dah,padahal sebelumnya aman saja tapi buat searching selalu ngebug sudah reinstall berkali loh masih tetap saja wifi juga aman aneh banget sudah,"['padahal', 'sebelumnya', 'aman', 'saja', 'tapi', 'buat', 'searching', 'selalu', 'ngebug', 'sudah', 'reinstall', 'berkali', 'loh', 'masih', 'tetap', 'saja', 'wifi', 'juga', 'aman', 'aneh', 'banget', 'sudah']","['aman', 'searching', 'ngebug', 'reinstall', 'berkali', 'loh', 'wifi', 'aman', 'aneh', 'banget']",aman searching ngebug reinstall kali loh wifi aman aneh banget
Ayam Jago,keren bro ni apk nya,5,2025-04-07 06:36:12,keren bro ni apk nya,keren bro ni apk nya,keren bro nih apk ya,"['keren', 'bro', 'nih', 'apk', 'ya']","['keren', 'bro', 'nih', 'apk', 'ya']",keren bro nih apk ya
Herni Marlina,bagus banget aku suka sama aplikasi ini,5,2025-04-07 05:21:56,bagus banget aku suka sama aplikasi ini,bagus banget aku suka sama aplikasi ini,bagus banget aku suka sama aplikasi ini,"['bagus', 'banget', 'aku', 'suka', 'sama', 'aplikasi', 'ini']","['bagus', 'banget', 'suka', 'aplikasi']",bagus banget suka aplikasi
Vhelicia,"tiba-tiba bug, di pencarian setiap mengetik foto yang mau dicari nggak ada.",4,2025-04-07 05:18:13,tibatiba bug di pencarian setiap mengetik foto yang mau dicari nggak ada,tibatiba bug di pencarian setiap mengetik foto yang mau dicari nggak ada,tibatiba bug di pencarian setiap mengetik foto yang mau dicari tidak ada,"['tibatiba', 'bug', 'di', 'pencarian', 'setiap', 'mengetik', 'foto', 'yang', 'mau', 'dicari', 'tidak', 'ada']","['tibatiba', 'bug', 'pencarian', 'mengetik', 'foto', 'dicari']",tibatiba bug cari etik foto cari
Asy Roq,"setelah update knp gk bisa dipenelusuri (cari ide) apapun, kecewa berat harus download ulang, walaupun didonload ulang sama saja nantinya gitu juga, tolong perbaiki bug nya dong, habisin paketan doang,",1,2025-04-07 05:16:50,setelah update knp gk bisa dipenelusuri cari ide apapun kecewa berat harus download ulang walaupun didonload ulang sama saja nantinya gitu juga tolong perbaiki bug nya dong habisin paketan doang,setelah update knp gk bisa dipenelusuri cari ide apapun kecewa berat harus download ulang walaupun didonload ulang sama saja nantinya gitu juga tolong perbaiki bug nya dong habisin paketan doang,setelah update kenapa tidak bisa dipenelusuri cari ide apapun kecewa berat harus download ulang walaupun didonload ulang sama saja nantinya begitu juga tolong perbaiki bug ya dong habisin paketan doang,"['setelah', 'update', 'kenapa', 'tidak', 'bisa', 'dipenelusuri', 'cari', 'ide', 'apapun', 'kecewa', 'berat', 'harus', 'download', 'ulang', 'walaupun', 'didonload', 'ulang', 'sama', 'saja', 'nantinya', 'begitu', 'juga', 'tolong', 'perbaiki', 'bug', 'ya', 'dong', 'habisin', 'paketan', 'doang']","['update', 'dipenelusuri', 'cari', 'ide', 'apapun', 'kecewa', 'berat', 'download', 'ulang', 'didonload', 'ulang', 'tolong', 'perbaiki', 'bug', 'ya', 'habisin', 'paketan', 'doang']",update telusur cari ide apa kecewa berat download ulang didonload ulang tolong baik bug ya habisin paket doang
Yus Nimar,pendapat saya pinterest ini cukup membantu tapi semenjak di update sering bug dan keluar sendiri pas lgi nyari ft dan suka ngeleg.sebaikny jika di update jngn membuat buruk maksudnya jngn bug🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,4,2025-04-07 05:13:41,pendapat saya pinterest ini cukup membantu tapi semenjak di update sering bug dan keluar sendiri pas lgi nyari ft dan suka ngelegsebaikny jika di update jngn membuat buruk maksudnya jngn bug,pendapat saya pinterest ini cukup membantu tapi semenjak di update sering bug dan keluar sendiri pas lgi nyari ft dan suka ngelegsebaikny jika di update jngn membuat buruk maksudnya jngn bug,pendapat saya pinterest ini cukup membantu tapi semenjak di update sering bug dan keluar sendiri pas lagi mencari ft dan suka ngelegsebaikny jika di update jangan membuat buruk maksudnya jangan bug,"['pendapat', 'saya', 'pinterest', 'ini', 'cukup', 'membantu', 'tapi', 'semenjak', 'di', 'update', 'sering', 'bug', 'dan', 'keluar', 'sendiri', 'pas', 'lagi', 'mencari', 'ft', 'dan', 'suka', 'ngelegsebaikny', 'jika', 'di', 'update', 'jangan', 'membuat', 'buruk', 'maksudnya', 'jangan', 'bug']","['pendapat', 'pinterest', 'membantu', 'semenjak', 'update', 'bug', 'pas', 'mencari', 'ft', 'suka', 'ngelegsebaikny', 'update', 'buruk', 'maksudnya', 'bug']",dapat pinterest bantu semenjak update bug pas cari ft suka ngelegsebaikny update buruk maksud bug
Fiqri Utomo,terbaik untuk mencari fpto bagus,5,2025-04-07 04:39:50,terbaik untuk mencari fpto bagus,terbaik untuk mencari fpto bagus,terbaik untuk mencari fpto bagus,"['terbaik', 'untuk', 'mencari', 'fpto', 'bagus']","['terbaik', 'mencari', 'fpto', 'bagus']",baik cari fpto bagus
zuhar chanif,saya sangat tidak suka-! Tadi saya membuka pinterest tiba tiba fotonya ga ada dan Ga bisa discroll tolong diperbaiki,1,2025-04-07 04:35:27,saya sangat tidak suka Tadi saya membuka pinterest tiba tiba fotonya ga ada dan Ga bisa discroll tolong diperbaiki,saya sangat tidak suka tadi saya membuka pinterest tiba tiba fotonya ga ada dan ga bisa discroll tolong diperbaiki,saya sangat tidak suka tadi saya membuka pinterest tiba tiba fotonya tidak ada dan tidak bisa discroll tolong diperbaiki,"['saya', 'sangat', 'tidak', 'suka', 'tadi', 'saya', 'membuka', 'pinterest', 'tiba', 'tiba', 'fotonya', 'tidak', 'ada', 'dan', 'tidak', 'bisa', 'discroll', 'tolong', 'diperbaiki']","['suka', 'membuka', 'pinterest', 'fotonya', 'discroll', 'tolong', 'diperbaiki']",suka buka pinterest foto discroll tolong baik
Afril Yanti,kenapa selalu bug akhir akhir ini?,2,2025-04-07 03:24:49,kenapa selalu bug akhir akhir ini,kenapa selalu bug akhir akhir ini,kenapa selalu bug akhir akhir ini,"['kenapa', 'selalu', 'bug', 'akhir', 'akhir', 'ini']",['bug'],bug
naiyira kindi,di upgrade malah ga bisa searching,3,2025-04-07 02:10:09,di upgrade malah ga bisa searching,di upgrade malah ga bisa searching,di upgrade malah tidak bisa searching,"['di', 'upgrade', 'malah', 'tidak', 'bisa', 'searching']","['upgrade', 'searching']",upgrade searching
Alex Nazriel,sangat cocok aplikasi ini untuk saya,5,2025-04-07 00:20:18,sangat cocok aplikasi ini untuk saya,sangat cocok aplikasi ini untuk saya,sangat cocok aplikasi ini untuk saya,"['sangat', 'cocok', 'aplikasi', 'ini', 'untuk', 'saya']","['cocok', 'aplikasi']",cocok aplikasi
Nurasyifa Lutfiyani,🌻🤍,5,2025-04-06 23:28:28,,,,[],[],
Santi Dewi,bgus bgtt suka deh,5,2025-04-06 23:06:25,bgus bgtt suka deh,bgus bgtt suka deh,bagus banget suka deh,"['bagus', 'banget', 'suka', 'deh']","['bagus', 'banget', 'suka', 'deh']",bagus banget suka deh
Nasrul Effendi,Pencairan data yg sangat baik,5,2025-04-06 22:28:37,Pencairan data yg sangat baik,pencairan data yg sangat baik,pencairan data yang sangat baik,"['pencairan', 'data', 'yang', 'sangat', 'baik']","['pencairan', 'data']",cair data
Nonik Ninok,aplikasi ini membuat saya merasa nyaman,5,2025-04-06 21:47:46,aplikasi ini membuat saya merasa nyaman,aplikasi ini membuat saya merasa nyaman,aplikasi ini membuat saya merasa nyaman,"['aplikasi', 'ini', 'membuat', 'saya', 'merasa', 'nyaman']","['aplikasi', 'nyaman']",aplikasi nyaman
Lala Chan,"jadi banyak video gajelas semenjak update, searching gabisa kocak, gada gambarnya terus, ngestuck di pencarian, Harus download ulang, dan gue butuh pin stiap hari jadi gue download ualng pin stiap hri",3,2025-04-06 19:56:34,jadi banyak video gajelas semenjak update searching gabisa kocak gada gambarnya terus ngestuck di pencarian Harus download ulang dan gue butuh pin stiap hari jadi gue download ualng pin stiap hri,jadi banyak video gajelas semenjak update searching gabisa kocak gada gambarnya terus ngestuck di pencarian harus download ulang dan gue butuh pin stiap hari jadi gue download ualng pin stiap hri,jadi banyak video semenjak update searching kocak gambarnya terus ngestuck di pencarian harus download ulang dan gue butuh pin setiap hari jadi gue download ualng pin setiap hari,"['jadi', 'banyak', 'video', 'semenjak', 'update', 'searching', 'kocak', 'gambarnya', 'terus', 'ngestuck', 'di', 'pencarian', 'harus', 'download', 'ulang', 'dan', 'gue', 'butuh', 'pin', 'setiap', 'hari', 'jadi', 'gue', 'download', 'ualng', 'pin', 'setiap', 'hari']","['video', 'semenjak', 'update', 'searching', 'kocak', 'gambarnya', 'ngestuck', 'pencarian', 'download', 'ulang', 'gue', 'butuh', 'pin', 'gue', 'download', 'ualng', 'pin']",video semenjak update searching kocak gambar ngestuck cari download ulang gue butuh pin gue download ualng pin
nwaá,"ada bug, ngeselin bgt. jdi gabisa nyari gambar yg aku mau. setiap mau nyari gambar nih ya, search barnya melebar gitu, gabisa nyari pfp deh :(",3,2025-04-06 19:18:37,ada bug ngeselin bgt jdi gabisa nyari gambar yg aku mau setiap mau nyari gambar nih ya search barnya melebar gitu gabisa nyari pfp deh ,ada bug ngeselin bgt jdi gabisa nyari gambar yg aku mau setiap mau nyari gambar nih ya search barnya melebar gitu gabisa nyari pfp deh ,ada bug mengesalkan banget jadi mencari gambar yang aku mau setiap mau mencari gambar nih ya search barnya melebar begitu mencari pfp deh,"['ada', 'bug', 'mengesalkan', 'banget', 'jadi', 'mencari', 'gambar', 'yang', 'aku', 'mau', 'setiap', 'mau', 'mencari', 'gambar', 'nih', 'ya', 'search', 'barnya', 'melebar', 'begitu', 'mencari', 'pfp', 'deh']","['bug', 'mengesalkan', 'banget', 'mencari', 'gambar', 'mencari', 'gambar', 'nih', 'ya', 'search', 'barnya', 'melebar', 'mencari', 'pfp', 'deh']",bug kesal banget cari gambar cari gambar nih ya search bar lebar cari pfp deh
Andik Sulistiyo,seru pol saya bisa nyari banyak inspirasi dari apk ini 🤭,5,2025-04-06 15:51:04,seru pol saya bisa nyari banyak inspirasi dari apk ini ,seru pol saya bisa nyari banyak inspirasi dari apk ini ,seru pol saya bisa mencari banyak inspirasi dari apk ini,"['seru', 'pol', 'saya', 'bisa', 'mencari', 'banyak', 'inspirasi', 'dari', 'apk', 'ini']","['seru', 'pol', 'mencari', 'inspirasi', 'apk']",seru pol cari inspirasi apk
Ali Zaky,"sejak pemakaian lama saya suka memakai aplikasi ini. Seiring berjalannya waktu,kenapa apk ini sekarang terdapat bug terutama di pencarian. Ketika mencari sesuatu itu kenapa tidak keluar gambar/foto apa apa? mencari pun harus dibagian beranda saja. Tolong developer agar diperbaiki!",1,2025-04-06 15:20:43,sejak pemakaian lama saya suka memakai aplikasi ini Seiring berjalannya waktukenapa apk ini sekarang terdapat bug terutama di pencarian Ketika mencari sesuatu itu kenapa tidak keluar gambarfoto apa apa mencari pun harus dibagian beranda saja Tolong developer agar diperbaiki,sejak pemakaian lama saya suka memakai aplikasi ini seiring berjalannya waktukenapa apk ini sekarang terdapat bug terutama di pencarian ketika mencari sesuatu itu kenapa tidak keluar gambarfoto apa apa mencari pun harus dibagian beranda saja tolong developer agar diperbaiki,sejak pemakaian lama saya suka memakai aplikasi ini seiring berjalannya waktukenapa apk ini sekarang terdapat bug terutama di pencarian ketika mencari sesuatu itu kenapa tidak keluar gambarfoto apa apa mencari pun harus dibagian beranda saja tolong developer agar diperbaiki,"['sejak', 'pemakaian', 'lama', 'saya', 'suka', 'memakai', 'aplikasi', 'ini', 'seiring', 'berjalannya', 'waktukenapa', 'apk', 'ini', 'sekarang', 'terdapat', 'bug', 'terutama', 'di', 'pencarian', 'ketika', 'mencari', 'sesuatu', 'itu', 'kenapa', 'tidak', 'keluar', 'gambarfoto', 'apa', 'apa', 'mencari', 'pun', 'harus', 'dibagian', 'beranda', 'saja', 'tolong', 'developer', 'agar', 'diperbaiki']","['pemakaian', 'suka', 'memakai', 'aplikasi', 'seiring', 'berjalannya', 'waktukenapa', 'apk', 'bug', 'pencarian', 'mencari', 'gambarfoto', 'mencari', 'dibagian', 'beranda', 'tolong', 'developer', 'diperbaiki']",pakai suka pakai aplikasi iring jalan waktukenapa apk bug cari cari gambarfoto cari bagi beranda tolong developer baik
Nayla Qholbi,ᴘ ɪɴɢғᴏ.... BAGUS ANYNK😭😭,5,2025-04-06 15:17:06,ᴘ ɪɴɢғᴏ BAGUS ANYNK,ᴘ ɪɴɢғᴏ bagus anynk,ᴘ ɪɴɢғᴏ bagus anynk,"['ᴘ', 'ɪɴɢғᴏ', 'bagus', 'anynk']","['ᴘ', 'ɪɴɢғᴏ', 'bagus', 'anynk']",  bagus anynk
Chil Guy,"behh mantep surga referensi banyak gambar yg bisa dijadiin ref buat gambar, tapi. banyak gambar gk senonoh walaupun kagak vulgar tapi tetep porno jadi tolong pihak dev kurangilah gambar vokep nya",5,2025-04-06 14:42:15,behh mantep surga referensi banyak gambar yg bisa dijadiin ref buat gambar tapi banyak gambar gk senonoh walaupun kagak vulgar tapi tetep porno jadi tolong pihak dev kurangilah gambar vokep nya,behh mantep surga referensi banyak gambar yg bisa dijadiin ref buat gambar tapi banyak gambar gk senonoh walaupun kagak vulgar tapi tetep porno jadi tolong pihak dev kurangilah gambar vokep nya,behh mantap surga referensi banyak gambar yang bisa dijadikan ref buat gambar tapi banyak gambar tidak senonoh walaupun kagak vulgar tapi tetap porno jadi tolong pihak dev kurangilah gambar vokep ya,"['behh', 'mantap', 'surga', 'referensi', 'banyak', 'gambar', 'yang', 'bisa', 'dijadikan', 'ref', 'buat', 'gambar', 'tapi', 'banyak', 'gambar', 'tidak', 'senonoh', 'walaupun', 'kagak', 'vulgar', 'tapi', 'tetap', 'porno', 'jadi', 'tolong', 'pihak', 'dev', 'kurangilah', 'gambar', 'vokep', 'ya']","['behh', 'mantap', 'surga', 'referensi', 'gambar', 'dijadikan', 'ref', 'gambar', 'gambar', 'senonoh', 'kagak', 'vulgar', 'porno', 'tolong', 'dev', 'kurangilah', 'gambar', 'vokep', 'ya']",behh mantap surga referensi gambar jadi ref gambar gambar senonoh kagak vulgar porno tolong dev kurang gambar vokep ya
Thursta Avara,udah di kasi tanggal lahir yang bener tetep g bisa masuk,2,2025-04-06 14:23:43,udah di kasi tanggal lahir yang bener tetep g bisa masuk,udah di kasi tanggal lahir yang bener tetep g bisa masuk,sudah di kasih tanggal lahir yang benar tetap tidak bisa masuk,"['sudah', 'di', 'kasih', 'tanggal', 'lahir', 'yang', 'benar', 'tetap', 'tidak', 'bisa', 'masuk']","['kasih', 'tanggal', 'lahir', 'masuk']",kasih tanggal lahir masuk
Anaya Nazmi,"bagus tapi kenapa saya tidak bisa mencari di fitur pencarian saya sudah beberapa kali download hapus download hapus,tolong diperbaiki",4,2025-04-06 14:16:40,bagus tapi kenapa saya tidak bisa mencari di fitur pencarian saya sudah beberapa kali download hapus download hapustolong diperbaiki,bagus tapi kenapa saya tidak bisa mencari di fitur pencarian saya sudah beberapa kali download hapus download hapustolong diperbaiki,bagus tapi kenapa saya tidak bisa mencari di fitur pencarian saya sudah beberapa kali download hapus download hapustolong diperbaiki,"['bagus', 'tapi', 'kenapa', 'saya', 'tidak', 'bisa', 'mencari', 'di', 'fitur', 'pencarian', 'saya', 'sudah', 'beberapa', 'kali', 'download', 'hapus', 'download', 'hapustolong', 'diperbaiki']","['bagus', 'mencari', 'fitur', 'pencarian', 'kali', 'download', 'hapus', 'download', 'hapustolong', 'diperbaiki']",bagus cari fitur cari kali download hapus download hapustolong baik
norw ay,"tolong, semenjak update kualitas jadi jelek banget..",4,2025-04-06 14:09:28,tolong semenjak update kualitas jadi jelek banget,tolong semenjak update kualitas jadi jelek banget,tolong semenjak update kualitas jadi jelek banget,"['tolong', 'semenjak', 'update', 'kualitas', 'jadi', 'jelek', 'banget']","['tolong', 'semenjak', 'update', 'kualitas', 'jelek', 'banget']",tolong semenjak update kualitas jelek banget
Helsa Alivia,mantab siii dan keren tapi aku agak susah mencari foto yang lebih bagus karena semua bagus keren untuk depeloper nya kasih banyak foto estetik lagi yaaaa,5,2025-04-06 13:53:03,mantab siii dan keren tapi aku agak susah mencari foto yang lebih bagus karena semua bagus keren untuk depeloper nya kasih banyak foto estetik lagi yaaaa,mantab siii dan keren tapi aku agak susah mencari foto yang lebih bagus karena semua bagus keren untuk depeloper nya kasih banyak foto estetik lagi yaaaa,mantab siii dan keren tapi aku agak susah mencari foto yang lebih bagus karena semua bagus keren untuk depeloper ya kasih banyak foto estetik lagi ya,"['mantab', 'siii', 'dan', 'keren', 'tapi', 'aku', 'agak', 'susah', 'mencari', 'foto', 'yang', 'lebih', 'bagus', 'karena', 'semua', 'bagus', 'keren', 'untuk', 'depeloper', 'ya', 'kasih', 'banyak', 'foto', 'estetik', 'lagi', 'ya']","['mantab', 'siii', 'keren', 'susah', 'mencari', 'foto', 'bagus', 'bagus', 'keren', 'depeloper', 'ya', 'kasih', 'foto', 'estetik', 'ya']",mantab siii keren susah cari foto bagus bagus keren depeloper ya kasih foto estetik ya
Bur Ning,bagus sih bug nya aja di perbaiki ya,5,2025-04-06 12:51:59,bagus sih bug nya aja di perbaiki ya,bagus sih bug nya aja di perbaiki ya,bagus sih bug ya saja di perbaiki ya,"['bagus', 'sih', 'bug', 'ya', 'saja', 'di', 'perbaiki', 'ya']","['bagus', 'sih', 'bug', 'ya', 'perbaiki', 'ya']",bagus sih bug ya baik ya
Rafassya Adzni,Sangat bagus saya menjadi lebih gampang untuk menggambar,5,2025-04-06 12:45:47,Sangat bagus saya menjadi lebih gampang untuk menggambar,sangat bagus saya menjadi lebih gampang untuk menggambar,sangat bagus saya menjadi lebih gampang untuk menggambar,"['sangat', 'bagus', 'saya', 'menjadi', 'lebih', 'gampang', 'untuk', 'menggambar']","['bagus', 'gampang', 'menggambar']",bagus gampang gambar
Chiara Anindya,bagiku aplikasi nya sangat bagus untukku mencari foto oshi atau ide membuat konten menjadi gampang dan mudah jadi aku rate 5 karna aplikasinya bener² bagus,5,2025-04-06 11:51:57,bagiku aplikasi nya sangat bagus untukku mencari foto oshi atau ide membuat konten menjadi gampang dan mudah jadi aku rate  karna aplikasinya bener² bagus,bagiku aplikasi nya sangat bagus untukku mencari foto oshi atau ide membuat konten menjadi gampang dan mudah jadi aku rate  karna aplikasinya bener² bagus,bagiku aplikasi ya sangat bagus untukku mencari foto oshi atau ide membuat konten menjadi gampang dan mudah jadi aku rate karena aplikasinya bener² bagus,"['bagiku', 'aplikasi', 'ya', 'sangat', 'bagus', 'untukku', 'mencari', 'foto', 'oshi', 'atau', 'ide', 'membuat', 'konten', 'menjadi', 'gampang', 'dan', 'mudah', 'jadi', 'aku', 'rate', 'karena', 'aplikasinya', 'bener²', 'bagus']","['bagiku', 'aplikasi', 'ya', 'bagus', 'untukku', 'mencari', 'foto', 'oshi', 'ide', 'konten', 'gampang', 'mudah', 'rate', 'aplikasinya', 'bener²', 'bagus']",bagi aplikasi ya bagus untuk cari foto oshi ide konten gampang mudah rate aplikasi bener bagus
Na Ebew,aplikasi nya bgus,5,2025-04-06 11:49:44,aplikasi nya bgus,aplikasi nya bgus,aplikasi ya bagus,"['aplikasi', 'ya', 'bagus']","['aplikasi', 'ya', 'bagus']",aplikasi ya bagus
Kawai ruci Purbokasih,sumpah aku kan pasmau isi tangal lahir lah malah gak. bisa padahal tangal lahir ku udah benar 🙂 aneh maf kolo dikasih bintang tiga,3,2025-04-06 11:42:47,sumpah aku kan pasmau isi tangal lahir lah malah gak bisa padahal tangal lahir ku udah benar  aneh maf kolo dikasih bintang tiga,sumpah aku kan pasmau isi tangal lahir lah malah gak bisa padahal tangal lahir ku udah benar  aneh maf kolo dikasih bintang tiga,sumpah aku kan pasmau isi tangal lahir lah malah tidak bisa padahal tangal lahir ku sudah benar aneh maf kolo dikasih bintang tiga,"['sumpah', 'aku', 'kan', 'pasmau', 'isi', 'tangal', 'lahir', 'lah', 'malah', 'tidak', 'bisa', 'padahal', 'tangal', 'lahir', 'ku', 'sudah', 'benar', 'aneh', 'maf', 'kolo', 'dikasih', 'bintang', 'tiga']","['sumpah', 'pasmau', 'isi', 'tangal', 'lahir', 'tangal', 'lahir', 'ku', 'aneh', 'maf', 'kolo', 'dikasih', 'bintang']",sumpah pasmau isi tangal lahir tangal lahir ku aneh maf kolo kasih bintang
Sigacor Slot,bagus banget semoga setelah update makin bagus,5,2025-04-06 11:31:35,bagus banget semoga setelah update makin bagus,bagus banget semoga setelah update makin bagus,bagus banget semoga setelah update makin bagus,"['bagus', 'banget', 'semoga', 'setelah', 'update', 'makin', 'bagus']","['bagus', 'banget', 'semoga', 'update', 'bagus']",bagus banget moga update bagus
Salwa Nafisah,apk ga bagus bikin udah kasih tgl lahir tapi tetep ga bisa udah di coba ber kali kali,1,2025-04-06 11:25:18,apk ga bagus bikin udah kasih tgl lahir tapi tetep ga bisa udah di coba ber kali kali,apk ga bagus bikin udah kasih tgl lahir tapi tetep ga bisa udah di coba ber kali kali,apk tidak bagus bikin sudah kasih tanggal lahir tapi tetap tidak bisa sudah di coba ber kali kali,"['apk', 'tidak', 'bagus', 'bikin', 'sudah', 'kasih', 'tanggal', 'lahir', 'tapi', 'tetap', 'tidak', 'bisa', 'sudah', 'di', 'coba', 'ber', 'kali', 'kali']","['apk', 'bagus', 'bikin', 'kasih', 'tanggal', 'lahir', 'coba', 'ber', 'kali', 'kali']",apk bagus bikin kasih tanggal lahir coba ber kali kali
Lia Camelia,untk konten ep ep bagus,5,2025-04-06 11:18:31,untk konten ep ep bagus,untk konten ep ep bagus,untuk konten ep ep bagus,"['untuk', 'konten', 'ep', 'ep', 'bagus']","['konten', 'ep', 'ep', 'bagus']",konten ep ep bagus
Naufalyn Putri,"karna aplikasi ini jadi aku bisa download din foto/vidio toyaaa,makasiii yaaa",5,2025-04-06 11:14:10,karna aplikasi ini jadi aku bisa download din fotovidio toyaaamakasiii yaaa,karna aplikasi ini jadi aku bisa download din fotovidio toyaaamakasiii yaaa,karena aplikasi ini jadi aku bisa download din fotovidio toyaaamakasiii ya,"['karena', 'aplikasi', 'ini', 'jadi', 'aku', 'bisa', 'download', 'din', 'fotovidio', 'toyaaamakasiii', 'ya']","['aplikasi', 'download', 'din', 'fotovidio', 'toyaaamakasiii', 'ya']",aplikasi download din fotovidio toyaaamakasiii ya
Salsabilabila Salsabilabila,"gajelas udah di download fto"" nya mlhan ga kesimpen bdoh",1,2025-04-06 10:47:33,gajelas udah di download fto nya mlhan ga kesimpen bdoh,gajelas udah di download fto nya mlhan ga kesimpen bdoh,sudah di download foto ya mlhan tidak kesimpen bdoh,"['sudah', 'di', 'download', 'foto', 'ya', 'mlhan', 'tidak', 'kesimpen', 'bdoh']","['download', 'foto', 'ya', 'mlhan', 'kesimpen', 'bdoh']",download foto ya mlhan kesimpen bdoh
Atikah Saepudin,susah ngisi tanggal lahir walaupun udah yang asli,1,2025-04-06 10:42:04,susah ngisi tanggal lahir walaupun udah yang asli,susah ngisi tanggal lahir walaupun udah yang asli,susah ngisi tanggal lahir walaupun sudah yang asli,"['susah', 'ngisi', 'tanggal', 'lahir', 'walaupun', 'sudah', 'yang', 'asli']","['susah', 'ngisi', 'tanggal', 'lahir', 'asli']",susah ngisi tanggal lahir asli
Ritta Matli,bisa mencari foto foto dan ide gambar saya sangat menyukai apk ini,5,2025-04-06 10:40:18,bisa mencari foto foto dan ide gambar saya sangat menyukai apk ini,bisa mencari foto foto dan ide gambar saya sangat menyukai apk ini,bisa mencari foto foto dan ide gambar saya sangat menyukai apk ini,"['bisa', 'mencari', 'foto', 'foto', 'dan', 'ide', 'gambar', 'saya', 'sangat', 'menyukai', 'apk', 'ini']","['mencari', 'foto', 'foto', 'ide', 'gambar', 'menyukai', 'apk']",cari foto foto ide gambar suka apk
Dewi Zaskia,aku bisa cari foto idolaku,5,2025-04-06 10:35:25,aku bisa cari foto idolaku,aku bisa cari foto idolaku,aku bisa cari foto idolaku,"['aku', 'bisa', 'cari', 'foto', 'idolaku']","['cari', 'foto', 'idolaku']",cari foto idola
Ardy Raihannafi,bintang empat dolo kekurangan gampang banget ke refresh fyp nya,4,2025-04-06 09:41:54,bintang empat dolo kekurangan gampang banget ke refresh fyp nya,bintang empat dolo kekurangan gampang banget ke refresh fyp nya,bintang empat dolo kekurangan gampang banget ke refresh fyp ya,"['bintang', 'empat', 'dolo', 'kekurangan', 'gampang', 'banget', 'ke', 'refresh', 'fyp', 'ya']","['bintang', 'dolo', 'kekurangan', 'gampang', 'banget', 'refresh', 'fyp', 'ya']",bintang dolo kurang gampang banget refresh fyp ya
Supreme Dol,ini kenapa ya aplikasi nya gua udah login ni trus tiba tiba keluar dan mau masuk lagi akun udah di nonaktifkan,1,2025-04-06 09:38:16,ini kenapa ya aplikasi nya gua udah login ni trus tiba tiba keluar dan mau masuk lagi akun udah di nonaktifkan,ini kenapa ya aplikasi nya gua udah login ni trus tiba tiba keluar dan mau masuk lagi akun udah di nonaktifkan,ini kenapa ya aplikasi ya gua sudah login nih terus tiba tiba keluar dan mau masuk lagi akun sudah di nonaktifkan,"['ini', 'kenapa', 'ya', 'aplikasi', 'ya', 'gua', 'sudah', 'login', 'nih', 'terus', 'tiba', 'tiba', 'keluar', 'dan', 'mau', 'masuk', 'lagi', 'akun', 'sudah', 'di', 'nonaktifkan']","['ya', 'aplikasi', 'ya', 'gua', 'login', 'nih', 'masuk', 'akun', 'nonaktifkan']",ya aplikasi ya gua login nih masuk akun nonaktif
Pejuang Rupiah,because in my opinion this application is very very useful,5,2025-04-06 09:17:26,because in my opinion this application is very very useful,because in my opinion this application is very very useful,because ini my opinion this application is very very useful,"['because', 'ini', 'my', 'opinion', 'this', 'application', 'is', 'very', 'very', 'useful']","['because', 'my', 'opinion', 'this', 'application', 'is', 'very', 'very', 'useful']",because my opinion this application is very very useful
Ahmad Zuferon,kok ga bisa login bilangnya masukkan tanggal lahir aku udah kasih masuk tapi tetap GK bisaa,2,2025-04-06 09:08:27,kok ga bisa login bilangnya masukkan tanggal lahir aku udah kasih masuk tapi tetap GK bisaa,kok ga bisa login bilangnya masukkan tanggal lahir aku udah kasih masuk tapi tetap gk bisaa,kok tidak bisa login bilangnya masukkan tanggal lahir aku sudah kasih masuk tapi tetap tidak bisa,"['kok', 'tidak', 'bisa', 'login', 'bilangnya', 'masukkan', 'tanggal', 'lahir', 'aku', 'sudah', 'kasih', 'masuk', 'tapi', 'tetap', 'tidak', 'bisa']","['login', 'bilangnya', 'masukkan', 'tanggal', 'lahir', 'kasih', 'masuk']",login bilang masuk tanggal lahir kasih masuk
