at,userName,score,content,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-04-16 09:57:50,nadine sakila,4,ini bagus sih kata aku karna bisa membantu,ini bagus sih kata aku karna bisa membantu,ini bagus sih kata aku karna bisa membantu,ini bagus sih kata aku karena bisa membantu,"['ini', 'bagus', 'sih', 'kata', 'aku', 'karena', 'bisa', 'membantu']","['bagus', 'sih', 'membantu']",bagus sih bantu
2025-04-16 09:56:32,Arumi Dzikira Al'jieska,3,"First of all, I want to say that this app actually good and lengkap, kalian bisa nemu referensi apa aja disini! tapi belakangan, after update. Appnya jadi lemot banget, padahal sinyal udah kenceng. Untuk buka gambar yang diberanda aja lemot banget, belum untuk search yang kadang error juga. I hope developer segera membenahi ini ya, karena jujur ini agak mengganggu, apalagi kalo lagi buru - buru. Thank you for providing such a useful app. I hope the performance issues can be fixed soon!❤️",First of all I want to say that this app actually good and lengkap kalian bisa nemu referensi apa aja disini tapi belakangan after update Appnya jadi lemot banget padahal sinyal udah kenceng Untuk buka gambar yang diberanda aja lemot banget belum untuk search yang kadang error juga I hope developer segera membenahi ini ya karena jujur ini agak mengganggu apalagi kalo lagi buru  buru Thank you for providing such a useful app I hope the performance issues can be fixed soon,first of all i want to say that this app actually good and lengkap kalian bisa nemu referensi apa aja disini tapi belakangan after update appnya jadi lemot banget padahal sinyal udah kenceng untuk buka gambar yang diberanda aja lemot banget belum untuk search yang kadang error juga i hope developer segera membenahi ini ya karena jujur ini agak mengganggu apalagi kalo lagi buru  buru thank you for providing such a useful app i hope the performance issues can be fixed soon,first of all i want tapi sayang that this app actually good and lengkap kalian bisa nemu referensi apa saja disini tapi belakangan after update appnya jadi lemot banget padahal sinyal sudah kencang untuk buka gambar yang diberanda saja lemot banget belum untuk search yang kadang error juga i hope developer segera membenahi ini ya karena jujur ini agak mengganggu apalagi kalau lagi buru buru thank you for providing such a useful app i hope the performance issues can be fixed soon,"['first', 'of', 'all', 'i', 'want', 'tapi', 'sayang', 'that', 'this', 'app', 'actually', 'good', 'and', 'lengkap', 'kalian', 'bisa', 'nemu', 'referensi', 'apa', 'saja', 'disini', 'tapi', 'belakangan', 'after', 'update', 'appnya', 'jadi', 'lemot', 'banget', 'padahal', 'sinyal', 'sudah', 'kencang', 'untuk', 'buka', 'gambar', 'yang', 'diberanda', 'saja', 'lemot', 'banget', 'belum', 'untuk', 'search', 'yang', 'kadang', 'error', 'juga', 'i', 'hope', 'developer', 'segera', 'membenahi', 'ini', 'ya', 'karena', 'jujur', 'ini', 'agak', 'mengganggu', 'apalagi', 'kalau', 'lagi', 'buru', 'buru', 'thank', 'you', 'for', 'providing', 'such', 'a', 'useful', 'app', 'i', 'hope', 'the', 'performance', 'issues', 'can', 'be', 'fixed', 'soon']","['first', 'of', 'all', 'i', 'want', 'sayang', 'that', 'this', 'app', 'actually', 'good', 'and', 'lengkap', 'nemu', 'referensi', 'after', 'update', 'appnya', 'lemot', 'banget', 'sinyal', 'kencang', 'buka', 'gambar', 'diberanda', 'lemot', 'banget', 'search', 'kadang', 'error', 'i', 'hope', 'developer', 'membenahi', 'ya', 'jujur', 'mengganggu', 'buru', 'buru', 'thank', 'you', 'for', 'providing', 'such', 'a', 'useful', 'app', 'i', 'hope', 'the', 'performance', 'issues', 'can', 'be', 'fixed', 'soon']",first of all i want sayang that this app actually good and lengkap nemu referensi after update appnya lot banget sinyal kencang buka gambar beranda lot banget search kadang error i hope developer benah ya jujur ganggu buru buru thank you for providing such a useful app i hope the performance issues can be fixed soon
2025-04-16 09:40:32,Yulii Yantiii,5,Bagus aplikasi ny dan ini pun Poto pon buat main rp,Bagus aplikasi ny dan ini pun Poto pon buat main rp,bagus aplikasi ny dan ini pun poto pon buat main rp,bagus aplikasi nya dan ini pun poto pon buat main rp,"['bagus', 'aplikasi', 'nya', 'dan', 'ini', 'pun', 'poto', 'pon', 'buat', 'main', 'rp']","['bagus', 'aplikasi', 'nya', 'poto', 'pon', 'main', 'rp']",bagus aplikasi nya poto pon main rp
2025-04-16 09:05:56,Fransisca Regita Cahyani,5,"sumber meme di hp wkwkwkwkwk bagus bgt sih, klo mau int sm fandom tp males di twt ato tt bisa disini",sumber meme di hp wkwkwkwkwk bagus bgt sih klo mau int sm fandom tp males di twt ato tt bisa disini,sumber meme di hp wkwkwkwkwk bagus bgt sih klo mau int sm fandom tp males di twt ato tt bisa disini,sumber meme di hp wkwkwkwkwk bagus banget sih kalau mau int sama fandom tapi malas di twt atau tt bisa disini,"['sumber', 'meme', 'di', 'hp', 'wkwkwkwkwk', 'bagus', 'banget', 'sih', 'kalau', 'mau', 'int', 'sama', 'fandom', 'tapi', 'malas', 'di', 'twt', 'atau', 'tt', 'bisa', 'disini']","['sumber', 'meme', 'hp', 'wkwkwkwkwk', 'bagus', 'banget', 'sih', 'int', 'fandom', 'malas', 'twt', 'tt']",sumber meme hp wkwkwkwkwk bagus banget sih int fandom malas twt tt
2025-04-16 08:21:18,Arsyira Najwa,5,SUKAAA BANGETTTT tapi agak berat,SUKAAA BANGETTTT tapi agak berat,sukaaa bangetttt tapi agak berat,suka banget tapi agak berat,"['suka', 'banget', 'tapi', 'agak', 'berat']","['suka', 'banget', 'berat']",suka banget berat
2025-04-16 08:16:35,James Franco,5,hebat,hebat,hebat,hebat,['hebat'],['hebat'],hebat
2025-04-16 07:36:20,Husna Alzahna,5,Bagus bangettt,Bagus bangettt,bagus bangettt,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
2025-04-16 07:24:21,Asahi,1,"akun tiba"" di banned padahal saya ga pernah post/simpan pin yang sensitif, sangat mengecewakan sekali pinterest saya sudah lama make pinterest tapi bru kali ini di banned tnpa sebab yang jelas.",akun tiba di banned padahal saya ga pernah postsimpan pin yang sensitif sangat mengecewakan sekali pinterest saya sudah lama make pinterest tapi bru kali ini di banned tnpa sebab yang jelas,akun tiba di banned padahal saya ga pernah postsimpan pin yang sensitif sangat mengecewakan sekali pinterest saya sudah lama make pinterest tapi bru kali ini di banned tnpa sebab yang jelas,akun tiba di banned padahal saya tidak pernah postsimpan pin yang sensitif sangat mengecewakan sekali pinterest saya sudah lama memakai pinterest tapi baru kali ini di banned tanpa sebab yang jelas,"['akun', 'tiba', 'di', 'banned', 'padahal', 'saya', 'tidak', 'pernah', 'postsimpan', 'pin', 'yang', 'sensitif', 'sangat', 'mengecewakan', 'sekali', 'pinterest', 'saya', 'sudah', 'lama', 'memakai', 'pinterest', 'tapi', 'baru', 'kali', 'ini', 'di', 'banned', 'tanpa', 'sebab', 'yang', 'jelas']","['akun', 'banned', 'postsimpan', 'pin', 'sensitif', 'mengecewakan', 'pinterest', 'memakai', 'pinterest', 'kali', 'banned']",akun banned postsimpan pin sensitif kecewa pinterest pakai pinterest kali banned
2025-04-16 07:23:25,Goodhell Gudel,4,ok lah,ok lah,ok lah,ok lah,"['ok', 'lah']",['ok'],ok
2025-04-16 07:08:58,Test,5,Aplikasi ini baguss sekali untuk ngebokep,Aplikasi ini baguss sekali untuk ngebokep,aplikasi ini baguss sekali untuk ngebokep,aplikasi ini bagus sekali untuk ngebokep,"['aplikasi', 'ini', 'bagus', 'sekali', 'untuk', 'ngebokep']","['aplikasi', 'bagus', 'ngebokep']",aplikasi bagus ngebokep
2025-04-16 07:07:23,Intan ramadani,1,"apaan tombol pencariaan gak bisa di click kalo di click gambar nya juga ga keluar,tolong di benerin ya",apaan tombol pencariaan gak bisa di click kalo di click gambar nya juga ga keluartolong di benerin ya,apaan tombol pencariaan gak bisa di click kalo di click gambar nya juga ga keluartolong di benerin ya,apaan tombol pencariaan tidak bisa di click kalau di click gambar ya juga tidak keluartolong di benerin ya,"['apaan', 'tombol', 'pencariaan', 'tidak', 'bisa', 'di', 'click', 'kalau', 'di', 'click', 'gambar', 'ya', 'juga', 'tidak', 'keluartolong', 'di', 'benerin', 'ya']","['tombol', 'pencariaan', 'click', 'click', 'gambar', 'ya', 'keluartolong', 'benerin', 'ya']",tombol pencariaan click click gambar ya keluartolong benerin ya
2025-04-16 06:25:14,Amelarma,5,sangat bagus bisa cari oshi aku,sangat bagus bisa cari oshi aku,sangat bagus bisa cari oshi aku,sangat bagus bisa cari oshi aku,"['sangat', 'bagus', 'bisa', 'cari', 'oshi', 'aku']","['bagus', 'cari', 'oshi']",bagus cari oshi
2025-04-16 06:02:52,ADIBA,5,bagus bisa buat prank😅,bagus bisa buat prank,bagus bisa buat prank,bagus bisa buat prank,"['bagus', 'bisa', 'buat', 'prank']","['bagus', 'prank']",bagus prank
2025-04-16 05:19:46,aprilia abie,5,😮,,,,[],[],
2025-04-16 04:59:05,engene enhypen,5,kerennn bangttt bisaa ngambil foto/vidio truss gambar2 hd hd jgaa,kerennn bangttt bisaa ngambil fotovidio truss gambar hd hd jgaa,kerennn bangttt bisaa ngambil fotovidio truss gambar hd hd jgaa,keren bangttt bisa ngambil fotovidio truss gambar hd hd jgaa,"['keren', 'bangttt', 'bisa', 'ngambil', 'fotovidio', 'truss', 'gambar', 'hd', 'hd', 'jgaa']","['keren', 'bangttt', 'ngambil', 'fotovidio', 'truss', 'gambar', 'hd', 'hd', 'jgaa']",keren bangttt ngambil fotovidio truss gambar hd hd jgaa
2025-04-16 04:24:35,Miyuko Akasa (Miyuko),5,"I like it,but I get annoyed when I'm listening to songs on any app,So it automatically turns off my song",I like itbut I get annoyed when Im listening to songs on any appSo it automatically turns off my song,i like itbut i get annoyed when im listening to songs on any appso it automatically turns off my song,i like itbut i get annoyed when im listening tapi songs on any appso itu automatically turns off my song,"['i', 'like', 'itbut', 'i', 'get', 'annoyed', 'when', 'im', 'listening', 'tapi', 'songs', 'on', 'any', 'appso', 'itu', 'automatically', 'turns', 'off', 'my', 'song']","['i', 'like', 'itbut', 'i', 'get', 'annoyed', 'when', 'im', 'listening', 'songs', 'on', 'any', 'appso', 'automatically', 'turns', 'off', 'my', 'song']",i like itbut i get annoyed when im listening songs on any appso automatically turns off my song
2025-04-16 03:54:29,ARJE415 Collection,5,mantap ok,mantap ok,mantap ok,mantap ok,"['mantap', 'ok']","['mantap', 'ok']",mantap ok
2025-04-16 03:39:19,Ros Orleans,5,Bagus saya suka,Bagus saya suka,bagus saya suka,bagus saya suka,"['bagus', 'saya', 'suka']","['bagus', 'suka']",bagus suka
2025-04-16 02:23:17,Juliesrere 14,5,nyenengi aplikasi ne lur,nyenengi aplikasi ne lur,nyenengi aplikasi ne lur,nyenengi aplikasi ini lur,"['nyenengi', 'aplikasi', 'ini', 'lur']","['nyenengi', 'aplikasi', 'lur']",nyenengi aplikasi lur
2025-04-15 22:48:13,Sugiri,5,Mantep,Mantep,mantep,mantap,['mantap'],['mantap'],mantap
2025-04-15 16:13:53,Antis Antis,5,nicee,nicee,nicee,nicee,['nicee'],['nicee'],nicee
2025-04-15 15:27:35,Nabita Pati,2,"ini pin kok eror terus ya semenjak update? masalahnya itu waktu pencet postingan gak bisa lihat deskripsi, judul, icon pengguna gitu (disemua postingan bahkan postingan ku sendiri☹️). tapi temenku sih oke-oke aja kayak biasanya, ya masih bisa lihat deskripsi, dll. apa ini eror nya berlaku ke aku doang? gak adil banget. tolong diperbaiki secepatnya 🙏🤍",ini pin kok eror terus ya semenjak update masalahnya itu waktu pencet postingan gak bisa lihat deskripsi judul icon pengguna gitu disemua postingan bahkan postingan ku sendiri tapi temenku sih okeoke aja kayak biasanya ya masih bisa lihat deskripsi dll apa ini eror nya berlaku ke aku doang gak adil banget tolong diperbaiki secepatnya ,ini pin kok eror terus ya semenjak update masalahnya itu waktu pencet postingan gak bisa lihat deskripsi judul icon pengguna gitu disemua postingan bahkan postingan ku sendiri tapi temenku sih okeoke aja kayak biasanya ya masih bisa lihat deskripsi dll apa ini eror nya berlaku ke aku doang gak adil banget tolong diperbaiki secepatnya ,ini pin kok eror terus ya semenjak update masalahnya itu waktu pencet postingan tidak bisa lihat deskripsi judul icon pengguna begitu disemua postingan bahkan postingan ku sendiri tapi temenku sih okeoke saja kayak biasanya ya masih bisa lihat deskripsi dll apa ini eror ya berlaku ke aku doang tidak adil banget tolong diperbaiki secepatnya,"['ini', 'pin', 'kok', 'eror', 'terus', 'ya', 'semenjak', 'update', 'masalahnya', 'itu', 'waktu', 'pencet', 'postingan', 'tidak', 'bisa', 'lihat', 'deskripsi', 'judul', 'icon', 'pengguna', 'begitu', 'disemua', 'postingan', 'bahkan', 'postingan', 'ku', 'sendiri', 'tapi', 'temenku', 'sih', 'okeoke', 'saja', 'kayak', 'biasanya', 'ya', 'masih', 'bisa', 'lihat', 'deskripsi', 'dll', 'apa', 'ini', 'eror', 'ya', 'berlaku', 'ke', 'aku', 'doang', 'tidak', 'adil', 'banget', 'tolong', 'diperbaiki', 'secepatnya']","['pin', 'eror', 'ya', 'semenjak', 'update', 'pencet', 'postingan', 'lihat', 'deskripsi', 'judul', 'icon', 'pengguna', 'disemua', 'postingan', 'postingan', 'ku', 'temenku', 'sih', 'okeoke', 'kayak', 'ya', 'lihat', 'deskripsi', 'dll', 'eror', 'ya', 'berlaku', 'doang', 'adil', 'banget', 'tolong', 'diperbaiki', 'secepatnya']",pin eror ya semenjak update pencet postingan lihat deskripsi judul icon guna semua postingan postingan ku temenku sih okeoke kayak ya lihat deskripsi dll eror ya laku doang adil banget tolong baik cepat
2025-04-15 14:54:22,zidan zahidan shalih,2,saya pake pinterest udah dari tahun 2018 sekarang lemot sama semakin jelek!!!!!,saya pake pinterest udah dari tahun  sekarang lemot sama semakin jelek,saya pake pinterest udah dari tahun  sekarang lemot sama semakin jelek,saya pakai pinterest sudah dari tahun sekarang lemot sama semakin jelek,"['saya', 'pakai', 'pinterest', 'sudah', 'dari', 'tahun', 'sekarang', 'lemot', 'sama', 'semakin', 'jelek']","['pakai', 'pinterest', 'lemot', 'jelek']",pakai pinterest lot jelek
2025-04-15 14:42:30,Sikembar Kembar,5,"bagus, cocok untuk referensi saya👍",bagus cocok untuk referensi saya,bagus cocok untuk referensi saya,bagus cocok untuk referensi saya,"['bagus', 'cocok', 'untuk', 'referensi', 'saya']","['bagus', 'cocok', 'referensi']",bagus cocok referensi
2025-04-15 14:30:10,Guwe Ganteng,5,Pinterest bisa membantu kita untuk belajar menggambar lebih bagus saya sungguh suka,Pinterest bisa membantu kita untuk belajar menggambar lebih bagus saya sungguh suka,pinterest bisa membantu kita untuk belajar menggambar lebih bagus saya sungguh suka,pinterest bisa membantu kita untuk belajar menggambar lebih bagus saya sungguh suka,"['pinterest', 'bisa', 'membantu', 'kita', 'untuk', 'belajar', 'menggambar', 'lebih', 'bagus', 'saya', 'sungguh', 'suka']","['pinterest', 'membantu', 'belajar', 'menggambar', 'bagus', 'sungguh', 'suka']",pinterest bantu ajar gambar bagus sungguh suka
2025-04-15 13:35:37,Sri Budiana,5,baguss kalo mau cari ide bisa liat di sini,baguss kalo mau cari ide bisa liat di sini,baguss kalo mau cari ide bisa liat di sini,bagus kalau mau cari ide bisa lihat di sini,"['bagus', 'kalau', 'mau', 'cari', 'ide', 'bisa', 'lihat', 'di', 'sini']","['bagus', 'cari', 'ide', 'lihat']",bagus cari ide lihat
2025-04-15 12:58:56,Reyzahnaj,5,bagus utk saran,bagus utk saran,bagus utk saran,bagus untuk saran,"['bagus', 'untuk', 'saran']","['bagus', 'saran']",bagus saran
2025-04-15 12:51:50,Alin Epril,5,"jadi gampang dapat insprasi gara gara aplikasi ini, pokonya bagusss !",jadi gampang dapat insprasi gara gara aplikasi ini pokonya bagusss ,jadi gampang dapat insprasi gara gara aplikasi ini pokonya bagusss ,jadi gampang dapat insprasi gara gara aplikasi ini pokoknya bagus,"['jadi', 'gampang', 'dapat', 'insprasi', 'gara', 'gara', 'aplikasi', 'ini', 'pokoknya', 'bagus']","['gampang', 'insprasi', 'gara', 'gara', 'aplikasi', 'pokoknya', 'bagus']",gampang insprasi gara gara aplikasi pokok bagus
2025-04-15 12:33:20,Aril Aril,5,aplikasi nya sangat bagus,aplikasi nya sangat bagus,aplikasi nya sangat bagus,aplikasi ya sangat bagus,"['aplikasi', 'ya', 'sangat', 'bagus']","['aplikasi', 'ya', 'bagus']",aplikasi ya bagus
2025-04-15 12:28:31,siti arah,5,bagus dan bisa cari foto anime,bagus dan bisa cari foto anime,bagus dan bisa cari foto anime,bagus dan bisa cari foto anime,"['bagus', 'dan', 'bisa', 'cari', 'foto', 'anime']","['bagus', 'cari', 'foto', 'anime']",bagus cari foto anime
2025-04-15 12:22:05,Valen Tina,5,👍,,,,[],[],
2025-04-15 12:07:55,Cumilmila,4,saya suka sih dengan aplikasi ini tapi masih ada beberapa kekurangan nya jadi gak bisa di kasih bintang 5 maaf nya 🙏,saya suka sih dengan aplikasi ini tapi masih ada beberapa kekurangan nya jadi gak bisa di kasih bintang  maaf nya ,saya suka sih dengan aplikasi ini tapi masih ada beberapa kekurangan nya jadi gak bisa di kasih bintang  maaf nya ,saya suka sih dengan aplikasi ini tapi masih ada beberapa kekurangan ya jadi tidak bisa di kasih bintang maaf ya,"['saya', 'suka', 'sih', 'dengan', 'aplikasi', 'ini', 'tapi', 'masih', 'ada', 'beberapa', 'kekurangan', 'ya', 'jadi', 'tidak', 'bisa', 'di', 'kasih', 'bintang', 'maaf', 'ya']","['suka', 'sih', 'aplikasi', 'kekurangan', 'ya', 'kasih', 'bintang', 'maaf', 'ya']",suka sih aplikasi kurang ya kasih bintang maaf ya
2025-04-15 11:04:56,Surmiati Wirawan,5,mantap gambar,mantap gambar,mantap gambar,mantap gambar,"['mantap', 'gambar']","['mantap', 'gambar']",mantap gambar
2025-04-15 10:15:58,Iyan Sastrawan,5,ketemu Gambar Random Unduh Gambar,ketemu Gambar Random Unduh Gambar,ketemu gambar random unduh gambar,ketemu gambar random unduh gambar,"['ketemu', 'gambar', 'random', 'unduh', 'gambar']","['ketemu', 'gambar', 'random', 'unduh', 'gambar']",ketemu gambar random unduh gambar
2025-04-15 10:14:38,Najwa Salsabila,5,"aplikasinya sangat bagus bisa melihat referensi gambar bahkan bisa mendownload gambarnya,bagus!",aplikasinya sangat bagus bisa melihat referensi gambar bahkan bisa mendownload gambarnyabagus,aplikasinya sangat bagus bisa melihat referensi gambar bahkan bisa mendownload gambarnyabagus,aplikasinya sangat bagus bisa melihat referensi gambar bahkan bisa mendownload gambarnyabagus,"['aplikasinya', 'sangat', 'bagus', 'bisa', 'melihat', 'referensi', 'gambar', 'bahkan', 'bisa', 'mendownload', 'gambarnyabagus']","['aplikasinya', 'bagus', 'referensi', 'gambar', 'mendownload', 'gambarnyabagus']",aplikasi bagus referensi gambar mendownload gambarnyabagus
2025-04-15 09:25:02,Meiga Marintao,5,good jobs,good jobs,good jobs,good jobs,"['good', 'jobs']","['good', 'jobs']",good jobs
2025-04-15 08:39:55,Qila Hafizah,3,bagus sih tp gw gk suka :x,bagus sih tp gw gk suka x,bagus sih tp gw gk suka x,bagus sih tapi gue tidak suka kali,"['bagus', 'sih', 'tapi', 'gue', 'tidak', 'suka', 'kali']","['bagus', 'sih', 'gue', 'suka', 'kali']",bagus sih gue suka kali
2025-04-15 08:36:39,Shabra Youzha,5,"sangat membantu, Sangat lengkap, luar biasa",sangat membantu Sangat lengkap luar biasa,sangat membantu sangat lengkap luar biasa,sangat membantu sangat lengkap luar biasa,"['sangat', 'membantu', 'sangat', 'lengkap', 'luar', 'biasa']","['membantu', 'lengkap']",bantu lengkap
2025-04-15 07:55:08,Sulfiana 2008,5,bbagusss bangeettt😍😍😍,bbagusss bangeettt,bbagusss bangeettt,bbagusss banget,"['bbagusss', 'banget']","['bbagusss', 'banget']",bbagusss banget
2025-04-15 07:14:29,Titik Setyowati,5,bagus bgttt bisa nyimpen foto² nya tapi aku gak tau cara nyimpen vidio nya lihat tiktok masih bingung cara nyimpennya,bagus bgttt bisa nyimpen foto nya tapi aku gak tau cara nyimpen vidio nya lihat tiktok masih bingung cara nyimpennya,bagus bgttt bisa nyimpen foto nya tapi aku gak tau cara nyimpen vidio nya lihat tiktok masih bingung cara nyimpennya,bagus banget bisa menyimpan foto ya tapi aku tidak tau cara menyimpan vidio ya lihat tiktok masih bingung cara nyimpennya,"['bagus', 'banget', 'bisa', 'menyimpan', 'foto', 'ya', 'tapi', 'aku', 'tidak', 'tau', 'cara', 'menyimpan', 'vidio', 'ya', 'lihat', 'tiktok', 'masih', 'bingung', 'cara', 'nyimpennya']","['bagus', 'banget', 'menyimpan', 'foto', 'ya', 'tau', 'menyimpan', 'vidio', 'ya', 'lihat', 'tiktok', 'bingung', 'nyimpennya']",bagus banget simpan foto ya tau simpan vidio ya lihat tiktok bingung nyimpennya
2025-04-15 05:48:17,Saila Giya,5,pinterest ini sangat bagus untuk saya yang suka mengedit ngedit poster foto terus semangat ya saya akan mendukung,pinterest ini sangat bagus untuk saya yang suka mengedit ngedit poster foto terus semangat ya saya akan mendukung,pinterest ini sangat bagus untuk saya yang suka mengedit ngedit poster foto terus semangat ya saya akan mendukung,pinterest ini sangat bagus untuk saya yang suka mengedit ngedit poster foto terus semangat ya saya akan mendukung,"['pinterest', 'ini', 'sangat', 'bagus', 'untuk', 'saya', 'yang', 'suka', 'mengedit', 'ngedit', 'poster', 'foto', 'terus', 'semangat', 'ya', 'saya', 'akan', 'mendukung']","['pinterest', 'bagus', 'suka', 'mengedit', 'ngedit', 'poster', 'foto', 'semangat', 'ya', 'mendukung']",pinterest bagus suka edit ngedit poster foto semangat ya dukung
2025-04-15 05:34:30,Pengguna Google,5,👍😸,,,,[],[],
2025-04-15 04:56:43,indah purnani,5,sangat membantu saya dalam mencari referensi untuk sumber belajar siswa dan berbagai hal.,sangat membantu saya dalam mencari referensi untuk sumber belajar siswa dan berbagai hal,sangat membantu saya dalam mencari referensi untuk sumber belajar siswa dan berbagai hal,sangat membantu saya dalam mencari referensi untuk sumber belajar siswa dan berbagai hal,"['sangat', 'membantu', 'saya', 'dalam', 'mencari', 'referensi', 'untuk', 'sumber', 'belajar', 'siswa', 'dan', 'berbagai', 'hal']","['membantu', 'mencari', 'referensi', 'sumber', 'belajar', 'siswa']",bantu cari referensi sumber ajar siswa
2025-04-15 04:32:12,Okie Augusta,5,sangat bagus dan membantu. tidak rugi instal app ini.,sangat bagus dan membantu tidak rugi instal app ini,sangat bagus dan membantu tidak rugi instal app ini,sangat bagus dan membantu tidak rugi instal app ini,"['sangat', 'bagus', 'dan', 'membantu', 'tidak', 'rugi', 'instal', 'app', 'ini']","['bagus', 'membantu', 'rugi', 'instal', 'app']",bagus bantu rugi instal app
2025-04-15 04:21:58,Reno Febrian,5,ada ayang gw bro,ada ayang gw bro,ada ayang gw bro,ada ayang gue bro,"['ada', 'ayang', 'gue', 'bro']","['ayang', 'gue', 'bro']",ayang gue bro
2025-04-15 04:14:01,Almiranabila syifa,5,pinterest sangat bagus!! saya selalu mencari di pinterest! tidak ada bug. sangat keren..,pinterest sangat bagus saya selalu mencari di pinterest tidak ada bug sangat keren,pinterest sangat bagus saya selalu mencari di pinterest tidak ada bug sangat keren,pinterest sangat bagus saya selalu mencari di pinterest tidak ada bug sangat keren,"['pinterest', 'sangat', 'bagus', 'saya', 'selalu', 'mencari', 'di', 'pinterest', 'tidak', 'ada', 'bug', 'sangat', 'keren']","['pinterest', 'bagus', 'mencari', 'pinterest', 'bug', 'keren']",pinterest bagus cari pinterest bug keren
2025-04-15 03:31:23,Iftazi Haykal,5,apik,apik,apik,apik,['apik'],['apik'],apik
2025-04-15 03:14:47,Diki Saputra,5,apk yang sangat bagus sangat mengispirasi dan banyak mentahan foto video semua nya gampang di cari di Pinterest ini apk yang berguna dan bermanfaat untuk mencari fto video good.,apk yang sangat bagus sangat mengispirasi dan banyak mentahan foto video semua nya gampang di cari di Pinterest ini apk yang berguna dan bermanfaat untuk mencari fto video good,apk yang sangat bagus sangat mengispirasi dan banyak mentahan foto video semua nya gampang di cari di pinterest ini apk yang berguna dan bermanfaat untuk mencari fto video good,apk yang sangat bagus sangat mengispirasi dan banyak mentahan foto video semua ya gampang di cari di pinterest ini apk yang berguna dan bermanfaat untuk mencari foto video good,"['apk', 'yang', 'sangat', 'bagus', 'sangat', 'mengispirasi', 'dan', 'banyak', 'mentahan', 'foto', 'video', 'semua', 'ya', 'gampang', 'di', 'cari', 'di', 'pinterest', 'ini', 'apk', 'yang', 'berguna', 'dan', 'bermanfaat', 'untuk', 'mencari', 'foto', 'video', 'good']","['apk', 'bagus', 'mengispirasi', 'mentahan', 'foto', 'video', 'ya', 'gampang', 'cari', 'pinterest', 'apk', 'berguna', 'bermanfaat', 'mencari', 'foto', 'video', 'good']",apk bagus mengispirasi mentah foto video ya gampang cari pinterest apk guna manfaat cari foto video good
2025-04-15 03:00:45,Apud Mahpud,5,apk ini bagus komplit untuk pencarian seperti dekor pola dll nya saya suka pake apk ini dari dulu ni makasih,apk ini bagus komplit untuk pencarian seperti dekor pola dll nya saya suka pake apk ini dari dulu ni makasih,apk ini bagus komplit untuk pencarian seperti dekor pola dll nya saya suka pake apk ini dari dulu ni makasih,apk ini bagus komplit untuk pencarian seperti dekor pola dll ya saya suka pakai apk ini dari dulu nih,"['apk', 'ini', 'bagus', 'komplit', 'untuk', 'pencarian', 'seperti', 'dekor', 'pola', 'dll', 'ya', 'saya', 'suka', 'pakai', 'apk', 'ini', 'dari', 'dulu', 'nih']","['apk', 'bagus', 'komplit', 'pencarian', 'dekor', 'pola', 'dll', 'ya', 'suka', 'pakai', 'apk', 'nih']",apk bagus komplit cari dekor pola dll ya suka pakai apk nih
2025-04-15 01:18:09,Leaf Ren,1,"Why when I want to search for photos/images on the search board, ""we can't find the pin"" always appears even though previously I could use the same keywords, I've tried deleting the cache and application data but it still doesn't work.",Why when I want to search for photosimages on the search board we cant find the pin always appears even though previously I could use the same keywords Ive tried deleting the cache and application data but it still doesnt work,why when i want to search for photosimages on the search board we cant find the pin always appears even though previously i could use the same keywords ive tried deleting the cache and application data but it still doesnt work,why when i want tapi search for photosimages on the search board we cant find the pin always appears even though previously i could use the same keywords ive tried deleting the cache and application data but itu still doesnt work,"['why', 'when', 'i', 'want', 'tapi', 'search', 'for', 'photosimages', 'on', 'the', 'search', 'board', 'we', 'cant', 'find', 'the', 'pin', 'always', 'appears', 'even', 'though', 'previously', 'i', 'could', 'use', 'the', 'same', 'keywords', 'ive', 'tried', 'deleting', 'the', 'cache', 'and', 'application', 'data', 'but', 'itu', 'still', 'doesnt', 'work']","['why', 'when', 'i', 'want', 'search', 'for', 'photosimages', 'on', 'the', 'search', 'board', 'we', 'cant', 'find', 'the', 'pin', 'always', 'appears', 'even', 'though', 'previously', 'i', 'could', 'use', 'the', 'same', 'keywords', 'ive', 'tried', 'deleting', 'the', 'cache', 'and', 'application', 'data', 'but', 'still', 'doesnt', 'work']",why when i want search for photosimages on the search board we cant find the pin always appears even though previously i could use the same keywords ive tried deting the cache and application data but still doesnt work
2025-04-15 01:15:10,Grh Shrmn,1,"tiba tiba bngt yah gabisa search apa apa, itu bug atau emg fitur tambahan wkwk",tiba tiba bngt yah gabisa search apa apa itu bug atau emg fitur tambahan wkwk,tiba tiba bngt yah gabisa search apa apa itu bug atau emg fitur tambahan wkwk,tiba tiba banget ya search apa apa itu bug atau memang fitur tambahan wkwk,"['tiba', 'tiba', 'banget', 'ya', 'search', 'apa', 'apa', 'itu', 'bug', 'atau', 'memang', 'fitur', 'tambahan', 'wkwk']","['banget', 'ya', 'search', 'bug', 'fitur', 'tambahan', 'wkwk']",banget ya search bug fitur tambah wkwk
2025-04-15 01:14:09,Cinta Khansa,1,nge bug jir,nge bug jir,nge bug jir,nge bug jir,"['nge', 'bug', 'jir']","['nge', 'bug', 'jir']",nge bug jir
2025-04-15 00:38:55,Hani.r,3,lag,lag,lag,lag,['lag'],['lag'],lag
