at,userName,score,content,cleaning,case_folding,normalisasi,stemming_data,sentiment
2025-04-04 02:59:35,Inten Tejaasih,4,good but i see aloe of nsfw why,good but i see aloe of nsfw why,good but i see aloe of nsfw why,good but i sih aloe of nsfw why,good but i sih aloe of nsfw why,Positif
2025-04-04 02:55:09,Muhammad Revan,5,sangat bagus aplikasi nyu,sangat bagus aplikasi nyu,sangat bagus aplikasi nyu,sangat bagus aplikasi nyu,bagus aplikasi nyu,Positif
2025-04-04 02:12:25,Naken Syahdafaras,5,"aplikasi nya nih udh baguzz bgttt, tapi ada kekurangan dikit, gabisa unduh vidionya, tlg yaa diperbaiki LG jdi bisa diunduh, arigatouuu~!",aplikasi nya nih udh baguzz bgttt tapi ada kekurangan dikit gabisa unduh vidionya tlg yaa diperbaiki LG jdi bisa diunduh arigatouuu,aplikasi nya nih udh baguzz bgttt tapi ada kekurangan dikit gabisa unduh vidionya tlg yaa diperbaiki lg jdi bisa diunduh arigatouuu,aplikasi ya nih sudah baguzz banget tapi ada kekurangan dikit unduh vidionya tolong ya diperbaiki lagi jadi bisa diunduh arigatouuu,aplikasi ya nih baguzz banget kurang dikit unduh vidionya tolong ya baik unduh arigatouuu,Positif
2025-04-04 01:18:30,Muh Syukur,5,soalnya sesuai ekspektasi,soalnya sesuai ekspektasi,soalnya sesuai ekspektasi,soalnya sesuai ekspektasi,sesuai ekspektasi,Positif
2025-04-04 01:04:44,Diva Nanda safitri,5,aplikasi nyaa baguss poll,aplikasi nyaa baguss poll,aplikasi nyaa baguss poll,aplikasi nya bagus poll,aplikasi nya bagus poll,Positif
2025-04-04 00:07:00,Aisha Ammara,5,Sangat sangat bagus.,Sangat sangat bagus,sangat sangat bagus,sangat sangat bagus,bagus,Positif
2025-04-03 23:59:18,Imro Atul,3,ini cocok untuk mencari foto² yang penting,ini cocok untuk mencari foto yang penting,ini cocok untuk mencari foto yang penting,ini cocok untuk mencari foto yang penting,cocok cari foto,Negatif
2025-04-03 23:45:56,wiraduta perkasa,5,aplikasi ini sangat bagus karena bisa mencari gambar yg kita mau,aplikasi ini sangat bagus karena bisa mencari gambar yg kita mau,aplikasi ini sangat bagus karena bisa mencari gambar yg kita mau,aplikasi ini sangat bagus karena bisa mencari gambar yang kita mau,aplikasi bagus cari gambar,Positif
2025-04-03 22:22:07,RiDa ELFRiDA,3,Best,Best,best,best,best,Negatif
2025-04-03 17:30:56,Rara_120,4,"Overall semuanya bagus, saya bisa download gambar apapun yang saya mau, cuman masih ada kekurangan yang pastinya semua orang juga butuh, yaitu fitur download video, terkadang saya ingin mendownload suatu video tapi tidak bisa, mohon tambahkan fitur download video nya. Jadi untuk sekarang saya kasih bintang empat dulu yaa 🙌",Overall semuanya bagus saya bisa download gambar apapun yang saya mau cuman masih ada kekurangan yang pastinya semua orang juga butuh yaitu fitur download video terkadang saya ingin mendownload suatu video tapi tidak bisa mohon tambahkan fitur download video nya Jadi untuk sekarang saya kasih bintang empat dulu yaa ,overall semuanya bagus saya bisa download gambar apapun yang saya mau cuman masih ada kekurangan yang pastinya semua orang juga butuh yaitu fitur download video terkadang saya ingin mendownload suatu video tapi tidak bisa mohon tambahkan fitur download video nya jadi untuk sekarang saya kasih bintang empat dulu yaa ,overall semuanya bagus saya bisa download gambar apapun yang saya mau cuman masih ada kekurangan yang pastinya semua orang juga butuh yaitu fitur download video terkadang saya ingin mendownload suatu video tapi tidak bisa mohon tambahkan fitur download video ya jadi untuk sekarang saya kasih bintang empat dulu ya,overall bagus download gambar apa cuman kurang pasti orang butuh fitur download video terkadang mendownload video mohon tambah fitur download video ya kasih bintang ya,Positif
2025-04-03 15:45:05,Pengguna Google,1,aku suka pakek ap ini tapi 🥱 jlk 🗿,aku suka pakek ap ini tapi  jlk ,aku suka pakek ap ini tapi  jlk ,aku suka pakai apa ini tapi jlk,suka pakai jlk,Negatif
2025-04-03 15:30:10,Wulan,5,Terima kasih ya (＾ｖ＾) aku jadi semangat untuk membuat konten youtube ku,Terima kasih ya  aku jadi semangat untuk membuat konten youtube ku,terima kasih ya  aku jadi semangat untuk membuat konten youtube ku,terima kasih ya aku jadi semangat untuk membuat konten youtube ku,terima kasih ya semangat konten youtube ku,Positif
2025-04-03 15:18:31,Yasmine Kamila,5,aplikasi nya membantu banget kalau mau cari foto idolaku jadi gak ribet ambil di google atau di ss,aplikasi nya membantu banget kalau mau cari foto idolaku jadi gak ribet ambil di google atau di ss,aplikasi nya membantu banget kalau mau cari foto idolaku jadi gak ribet ambil di google atau di ss,aplikasi ya membantu banget kalau mau cari foto idolaku jadi tidak ribet ambil di google atau di ss,aplikasi ya bantu banget cari foto idola ribet ambil google ss,Positif
2025-04-03 15:05:24,mitsubishi_octa octa,5,memberikan inspirasi yg luar biasa,memberikan inspirasi yg luar biasa,memberikan inspirasi yg luar biasa,memberikan inspirasi yang luar biasa,inspirasi,Positif
2025-04-03 15:01:29,Katsuragi Kiryuu,4,search eror,search eror,search eror,search eror,search eror,Positif
2025-04-03 14:45:40,Naya,4,bisa ngimpen apa aja yang mau,bisa ngimpen apa aja yang mau,bisa ngimpen apa aja yang mau,bisa ngimpen apa saja yang mau,ngimpen,Positif
2025-04-03 14:31:56,Zainuri,4,bagus banget ini aplikasi banyak banget foto,bagus banget ini aplikasi banyak banget foto,bagus banget ini aplikasi banyak banget foto,bagus banget ini aplikasi banyak banget foto,bagus banget aplikasi banget foto,Positif
2025-04-03 13:48:22,Made Perancak S' Antique Made Perancak,3,"Aplikasi ini unik oleh karena ada banyak hal yg postive dapat dimengerti tentunya dapat dipetik hikmahnya.Meskipun bukan kita yg menanam,merawat,namun hasilnya bisa kita petik, dg mengutip bbrp hal yg condusive ( bukan menyadur) dan tentunya kita implementasi dlm kehidupan sehari hari.Itulah kekhasannya dengan install aplikasi ini.",Aplikasi ini unik oleh karena ada banyak hal yg postive dapat dimengerti tentunya dapat dipetik hikmahnyaMeskipun bukan kita yg menanammerawatnamun hasilnya bisa kita petik dg mengutip bbrp hal yg condusive  bukan menyadur dan tentunya kita implementasi dlm kehidupan sehari hariItulah kekhasannya dengan install aplikasi ini,aplikasi ini unik oleh karena ada banyak hal yg postive dapat dimengerti tentunya dapat dipetik hikmahnyameskipun bukan kita yg menanammerawatnamun hasilnya bisa kita petik dg mengutip bbrp hal yg condusive  bukan menyadur dan tentunya kita implementasi dlm kehidupan sehari hariitulah kekhasannya dengan install aplikasi ini,aplikasi ini unik oleh karena ada banyak hal yang postive dapat dimengerti tentunya dapat dipetik hikmahnyameskipun bukan kita yang menanammerawatnamun hasilnya bisa kita petik dengan mengutip beberapa hal yang condusive bukan menyadur dan tentunya kita implementasi dalam kehidupan sehari hariitulah kekhasannya dengan install aplikasi ini,aplikasi unik postive erti petik hikmahnyameskipun menanammerawatnamun hasil petik kutip condusive sadur implementasi hidup hari hariitulah khas install aplikasi,Negatif
2025-04-03 13:33:59,Mikhayla Azzahra,1,"jelek sekalii apalagi saya udah coba 2 kali untuk login,cuma karena tanggal lahir,padahal saya sudah pakai asli tapii dikit² oups salah,padahal itu udh asli.",jelek sekalii apalagi saya udah coba  kali untuk logincuma karena tanggal lahirpadahal saya sudah pakai asli tapii dikit oups salahpadahal itu udh asli,jelek sekalii apalagi saya udah coba  kali untuk logincuma karena tanggal lahirpadahal saya sudah pakai asli tapii dikit oups salahpadahal itu udh asli,jelek sekali apalagi saya sudah coba kali untuk logincuma karena tanggal lahirpadahal saya sudah pakai asli tapi dikit oups salahpadahal itu sudah asli,jelek coba kali logincuma tanggal lahirpadahal pakai asli dikit oups salahpadahal asli,Negatif
2025-04-03 13:22:14,Dodot Widiyanto,5,bagus?,bagus,bagus,bagus,bagus,Positif
2025-04-03 13:16:02,M.dzakwan Arraafi,5,sukaaa bangett buat cari photo photo idol K-Pop kesukaan kuu :∆,sukaaa bangett buat cari photo photo idol KPop kesukaan kuu ,sukaaa bangett buat cari photo photo idol kpop kesukaan kuu ,suka banget buat cari photo photo idol kpop kesukaan ku,suka banget cari photo photo idol kpop suka ku,Positif
2025-04-03 12:51:30,Chymylog,2,Bru whats with the search page,Bru whats with the search page,bru whats with the search page,baru whats with the search page,whats with the search page,Negatif
2025-04-03 12:39:21,Mei Mei,3,apk bagus,apk bagus,apk bagus,apk bagus,apk bagus,Negatif
2025-04-03 12:27:06,Diah Nurazriah,5,"OMG sukaa bangett, mempermudah mencari berbagai hal untuk referensi atau apapun itu. Aplikasinya super aesthetic dan relax. Pinterest ini bener² punya vibes tersendiri dan lengkap banget. Kalau kalian stress butuh lihat hal-hal indah buka aja pinterest. Rekomen bangett sukaa. Pembuatnya super ngerti woman banget sih ini wkwk.",OMG sukaa bangett mempermudah mencari berbagai hal untuk referensi atau apapun itu Aplikasinya super aesthetic dan relax Pinterest ini bener punya vibes tersendiri dan lengkap banget Kalau kalian stress butuh lihat halhal indah buka aja pinterest Rekomen bangett sukaa Pembuatnya super ngerti woman banget sih ini wkwk,omg sukaa bangett mempermudah mencari berbagai hal untuk referensi atau apapun itu aplikasinya super aesthetic dan relax pinterest ini bener punya vibes tersendiri dan lengkap banget kalau kalian stress butuh lihat halhal indah buka aja pinterest rekomen bangett sukaa pembuatnya super ngerti woman banget sih ini wkwk,omg suka banget mempermudah mencari berbagai hal untuk referensi atau apapun itu aplikasinya super aesthetic dan relax pinterest ini benar punya vibes tersendiri dan lengkap banget kalau kalian stres butuh lihat halhal indah buka saja pinterest rekomen banget suka pembuatnya super mengerti woman banget sih ini wkwk,omg suka banget mudah cari referensi apa aplikasi super aesthetic relax pinterest vibes sendiri lengkap banget stres butuh lihat halhal indah buka pinterest rekomen banget suka buat super erti woman banget sih wkwk,Positif
2025-04-03 12:13:06,bagus 6hk,5,bagus aj,bagus aj,bagus aj,bagus saja,bagus,Positif
2025-04-03 11:43:24,Windi Savani,3,aku kasih bintang 3 karena waktu aku cari foto kaya contoh aku cari foto blackpink tapi ada yang muncul bts bukan blackpink jadi mohon perbaikannya ya🙏🏻🙏🏻🙏🏻,aku kasih bintang  karena waktu aku cari foto kaya contoh aku cari foto blackpink tapi ada yang muncul bts bukan blackpink jadi mohon perbaikannya ya,aku kasih bintang  karena waktu aku cari foto kaya contoh aku cari foto blackpink tapi ada yang muncul bts bukan blackpink jadi mohon perbaikannya ya,aku kasih bintang karena waktu aku cari foto kayak contoh aku cari foto blackpink tapi ada yang muncul bts bukan blackpink jadi mohon perbaikannya ya,kasih bintang cari foto kayak contoh cari foto blackpink muncul bts blackpink mohon baik ya,Negatif
2025-04-03 11:30:16,Sella Bersamamu,5,game nya bagus aku suka gampang lagi cara buat nya jadi aku kasih bintang 5,game nya bagus aku suka gampang lagi cara buat nya jadi aku kasih bintang ,game nya bagus aku suka gampang lagi cara buat nya jadi aku kasih bintang ,game ya bagus aku suka gampang lagi cara buat ya jadi aku kasih bintang,game ya bagus suka gampang ya kasih bintang,Positif
2025-04-03 11:15:46,Salma,5,bagus banget Poto Poto nya juga bagus bagus,bagus banget Poto Poto nya juga bagus bagus,bagus banget poto poto nya juga bagus bagus,bagus banget poto poto ya juga bagus bagus,bagus banget poto poto ya bagus bagus,Positif
2025-04-03 10:49:14,Aniek Yun,5,cari inspirasi apa aja ada di sini,cari inspirasi apa aja ada di sini,cari inspirasi apa aja ada di sini,cari inspirasi apa saja ada di sini,cari inspirasi,Positif
2025-04-03 10:22:10,Khansa Khumairah,5,"Aplikasinya bagus banget! kalo cari foto² disini aja,juga ini konsepnya kayak Ig dan bisa nyimpen foto yg kita mau,banyak banget hal yg bisa dilakukan disini, misalnya post foto,komentar,dll.pokoknya bagus banget, ayo download.",Aplikasinya bagus banget kalo cari foto disini ajajuga ini konsepnya kayak Ig dan bisa nyimpen foto yg kita maubanyak banget hal yg bisa dilakukan disini misalnya post fotokomentardllpokoknya bagus banget ayo download,aplikasinya bagus banget kalo cari foto disini ajajuga ini konsepnya kayak ig dan bisa nyimpen foto yg kita maubanyak banget hal yg bisa dilakukan disini misalnya post fotokomentardllpokoknya bagus banget ayo download,aplikasinya bagus banget kalau cari foto disini ajajuga ini konsepnya kayak ig dan bisa menyimpan foto yang kita maubanyak banget hal yang bisa dilakukan disini misalnya post fotokomentardllpokoknya bagus banget ayo download,aplikasi bagus banget cari foto ajajuga konsep kayak ig simpan foto maubanyak banget post fotokomentardllpokoknya bagus banget ayo download,Positif
2025-04-03 10:01:37,Asma'ul Khusnah,5,aplikasi ini sangat menarik inspirasiku sejak pertama kali membukanya,aplikasi ini sangat menarik inspirasiku sejak pertama kali membukanya,aplikasi ini sangat menarik inspirasiku sejak pertama kali membukanya,aplikasi ini sangat menarik inspirasiku sejak pertama kali membukanya,aplikasi tarik inspirasi kali buka,Positif
2025-04-03 09:59:21,Dira Nurafifah,5,halo pinterset aku bisa mengambil metahan,halo pinterset aku bisa mengambil metahan,halo pinterset aku bisa mengambil metahan,halo pinterset aku bisa mengambil metahan,halo pinterset ambil metah,Positif
2025-04-03 09:57:53,Aka Azis,5,bagus bgtt ini apk!!😍 ya walau vidio vidio nya gak bisa diambil 😔 tapi gak papa kok! ini juga bisa buat ambil/buat gambar buat produk kacamata atau apa kek juga bisaa :D tapii ini juga bisa nyari casing wallpaper icons dan lain lain nya kalau kita lagi males gambar mesti nyari qode qr atau pose gaya buat gambar 🤩 suka bgtt sihh 😭 bisa buat liat hal² kocak juga 🗿 pokok nya Pinterest paling the best deh!! ^^,bagus bgtt ini apk ya walau vidio vidio nya gak bisa diambil  tapi gak papa kok ini juga bisa buat ambilbuat gambar buat produk kacamata atau apa kek juga bisaa D tapii ini juga bisa nyari casing wallpaper icons dan lain lain nya kalau kita lagi males gambar mesti nyari qode qr atau pose gaya buat gambar  suka bgtt sihh  bisa buat liat hal kocak juga  pokok nya Pinterest paling the best deh ,bagus bgtt ini apk ya walau vidio vidio nya gak bisa diambil  tapi gak papa kok ini juga bisa buat ambilbuat gambar buat produk kacamata atau apa kek juga bisaa d tapii ini juga bisa nyari casing wallpaper icons dan lain lain nya kalau kita lagi males gambar mesti nyari qode qr atau pose gaya buat gambar  suka bgtt sihh  bisa buat liat hal kocak juga  pokok nya pinterest paling the best deh ,bagus banget ini apk ya walau vidio vidio ya tidak bisa diambil tapi tidak papa kok ini juga bisa buat ambilbuat gambar buat produk kacamata atau apa kayak juga bisa di tapi ini juga bisa mencari casing wallpaper icons dan lain lain ya kalau kita lagi malas gambar mesti mencari qode qr atau pose gaya buat gambar suka banget sih bisa buat lihat hal kocak juga pokok ya pinterest paling the best deh,bagus banget apk ya vidio vidio ya ambil papa ambilbuat gambar produk kacamata kayak cari casing wallpaper icons ya malas gambar mesti cari qode qr pose gaya gambar suka banget sih lihat kocak pokok ya pinterest the best deh,Positif
2025-04-03 09:31:47,Tiaratara Mutiara,5,bagus beut pokokny,bagus beut pokokny,bagus beut pokokny,bagus banget pokokny,bagus banget pokokny,Positif
2025-04-03 09:13:33,Lekhan Letho,3,ngebug nya bikin kesel,ngebug nya bikin kesel,ngebug nya bikin kesel,ngebug ya bikin kesel,ngebug ya bikin kesel,Negatif
2025-04-03 09:07:30,Akun Googleku12,3,"enak sih make ni apk, tapi masalah nya pas gua lagi nge search, tibatiba gabisa/loading kayak hitam aja, tolong di perbaiki",enak sih make ni apk tapi masalah nya pas gua lagi nge search tibatiba gabisaloading kayak hitam aja tolong di perbaiki,enak sih make ni apk tapi masalah nya pas gua lagi nge search tibatiba gabisaloading kayak hitam aja tolong di perbaiki,enak sih memakai nih apk tapi masalah ya pas gua lagi nge search tibatiba gabisaloading kayak hitam saja tolong di perbaiki,enak sih pakai nih apk ya pas gua nge search tibatiba gabisaloading kayak hitam tolong baik,Negatif
2025-04-03 08:36:08,Nashrullah Basori,1,"bisa bisa nya main blokir akun tapi disuruh cek gk mau cek itu loh. jangan nonaktifkan akun seenaknya, gk sopan.",bisa bisa nya main blokir akun tapi disuruh cek gk mau cek itu loh jangan nonaktifkan akun seenaknya gk sopan,bisa bisa nya main blokir akun tapi disuruh cek gk mau cek itu loh jangan nonaktifkan akun seenaknya gk sopan,bisa bisa ya main blokir akun tapi disuruh cek tidak mau cek itu loh jangan nonaktifkan akun seenaknya tidak sopan,ya main blokir akun suruh cek cek loh nonaktif akun sopan,Negatif
2025-04-03 07:04:58,A A,5,bagus loh,bagus loh,bagus loh,bagus loh,bagus loh,Positif
2025-04-03 07:02:28,Kadek sri,4,bagus tapi saat mau login tak bisa,bagus tapi saat mau login tak bisa,bagus tapi saat mau login tak bisa,bagus tapi saat mau login tak bisa,bagus login,Positif
2025-04-03 06:20:29,Aghisna Tika,5,lengkap sudah ok 😀,lengkap sudah ok ,lengkap sudah ok ,lengkap sudah ok,lengkap ok,Positif
2025-04-03 06:20:27,Realme6 Andriyansyah Dd,5,w can this application also be useful for searching for images?,w can this application also be useful for searching for images,w can this application also be useful for searching for images,gue can this application also be useful for searching for images,gue can this application also be useful for searching for images,Positif
2025-04-03 05:45:35,mama uty,5,karna bagus sekali aku sukah deh,karna bagus sekali aku sukah deh,karna bagus sekali aku sukah deh,karena bagus sekali aku sukah deh,bagus sukah deh,Positif
2025-04-03 05:31:20,Keisya Tiktok,5,plisss bagus,plisss bagus,plisss bagus,plisss bagus,plisss bagus,Positif
2025-04-03 04:32:34,Berang Kaso,5,ini aplikasi sangat ber mAnfaaat wellllll,ini aplikasi sangat ber mAnfaaat wellllll,ini aplikasi sangat ber manfaaat wellllll,ini aplikasi sangat ber manfaaat wellllll,aplikasi ber manfaaat wellllll,Positif
2025-04-03 04:20:47,Ween Ween,5,terima kasih,terima kasih,terima kasih,terima kasih,terima kasih,Positif
2025-04-03 03:43:21,Nazelluna Athanasia,5,bagus banget perfect great membantu mencari photo profil photo dan lain-lain,bagus banget perfect great membantu mencari photo profil photo dan lainlain,bagus banget perfect great membantu mencari photo profil photo dan lainlain,bagus banget perfect great membantu mencari photo profil photo dan lainlain,bagus banget perfect great bantu cari photo profil photo lainlain,Positif
2025-04-03 03:24:53,Revano Kesya,3,"awalnya saya suka dengan aplikasi ini, tapi gatau kenapa tiba tiba akun pin saya di nonaktifkan, padahal saya tidak ada ngapa ngapain, mau aktifin akunnya kembali juga saya gatau, karna gada tutorial nya, tolong ya pihak pin, kembalikan akun saya, karna kedua akun pin saya sama sama dinonaktifkan, saya capek membenarkan akun saya, saya sudah tidak bisa login pin, karna di nonaktifkan, tolong yaa pinn kembalikan akunn sayaa👍🏻👍🏻",awalnya saya suka dengan aplikasi ini tapi gatau kenapa tiba tiba akun pin saya di nonaktifkan padahal saya tidak ada ngapa ngapain mau aktifin akunnya kembali juga saya gatau karna gada tutorial nya tolong ya pihak pin kembalikan akun saya karna kedua akun pin saya sama sama dinonaktifkan saya capek membenarkan akun saya saya sudah tidak bisa login pin karna di nonaktifkan tolong yaa pinn kembalikan akunn sayaa,awalnya saya suka dengan aplikasi ini tapi gatau kenapa tiba tiba akun pin saya di nonaktifkan padahal saya tidak ada ngapa ngapain mau aktifin akunnya kembali juga saya gatau karna gada tutorial nya tolong ya pihak pin kembalikan akun saya karna kedua akun pin saya sama sama dinonaktifkan saya capek membenarkan akun saya saya sudah tidak bisa login pin karna di nonaktifkan tolong yaa pinn kembalikan akunn sayaa,awalnya saya suka dengan aplikasi ini tapi kenapa tiba tiba akun pin saya di nonaktifkan padahal saya tidak ada ngapa mengapai mau aktifin akunnya kembali juga saya karena tutorial ya tolong ya pihak pin kembalikan akun saya karena kedua akun pin saya sama sama dinonaktifkan saya capek membenarkan akun saya saya sudah tidak bisa login pin karena di nonaktifkan tolong ya pinn kembalikan akunn saya,suka aplikasi akun pin nonaktif ngapa kapai aktifin akun tutorial ya tolong ya pin kembali akun akun pin nonaktif capek benar akun login pin nonaktif tolong ya pinn kembali akunn,Negatif
2025-04-03 03:23:27,yesovi christina,5,"SUKA, GW JADI MAKIN KREATIF",SUKA GW JADI MAKIN KREATIF,suka gw jadi makin kreatif,suka gue jadi makin kreatif,suka gue kreatif,Positif
2025-04-03 03:10:08,Zaini Narmin,5,oke bget,oke bget,oke bget,oke banget,oke banget,Positif
2025-04-03 02:45:48,Assyifa Dema Anindita,1,gbisa login👺,gbisa login,gbisa login,gbisa login,gbisa login,Negatif
2025-04-03 02:04:05,Zafransyaban 2015,1,APA INI KENAPA PAS LOGIN DI TANGGAL LAHIR GAK BISA TERUSSS,APA INI KENAPA PAS LOGIN DI TANGGAL LAHIR GAK BISA TERUSSS,apa ini kenapa pas login di tanggal lahir gak bisa terusss,apa ini kenapa pas login di tanggal lahir tidak bisa terus,pas login tanggal lahir,Negatif
2025-04-03 01:25:27,Komang Rusmini,5,sangat menginovasi bagi anak yang suka estetika,sangat menginovasi bagi anak yang suka estetika,sangat menginovasi bagi anak yang suka estetika,sangat menginovasi bagi anak yang suka estetika,inovasi anak suka estetika,Positif
2025-04-03 00:59:20,mayina lestari,5,"bagus cuma pas aku daftar kok ga bisaa gituu looh kek apaa pokok nya pas aku daftar ga bisa emang syarat nya APA? pas aku masuk kek ""kamu belum memenuhi syarat kami"" gitu",bagus cuma pas aku daftar kok ga bisaa gituu looh kek apaa pokok nya pas aku daftar ga bisa emang syarat nya APA pas aku masuk kek kamu belum memenuhi syarat kami gitu,bagus cuma pas aku daftar kok ga bisaa gituu looh kek apaa pokok nya pas aku daftar ga bisa emang syarat nya apa pas aku masuk kek kamu belum memenuhi syarat kami gitu,bagus cuma pas aku daftar kok tidak bisa begitu loh kayak apa pokok ya pas aku daftar tidak bisa memang syarat ya apa pas aku masuk kayak kamu belum memenuhi syarat kami begitu,bagus pas daftar loh kayak pokok ya pas daftar syarat ya pas masuk kayak penuh syarat,Positif
2025-04-03 00:15:58,Lusia Siep,5,THE BEST APPS EVER!!! THIS APPS GIVE ME A GOOD OUTFIT IDEA AS LONG I USE IT. LOVE THIS APPS SO MUCH<3,THE BEST APPS EVER THIS APPS GIVE ME A GOOD OUTFIT IDEA AS LONG I USE IT LOVE THIS APPS SO MUCH,the best apps ever this apps give me a good outfit idea as long i use it love this apps so much,the best apps ever this apps give me a good outfit idea as long i use itu love this apps sok much,the best apps ever this apps give me a good outfit idea as long i use love this apps sok much,Positif
2025-04-03 00:14:17,Rudi Ardiansyah,1,akun saya di nonaktifkan saya ingin mengaktifkan nya kembali,akun saya di nonaktifkan saya ingin mengaktifkan nya kembali,akun saya di nonaktifkan saya ingin mengaktifkan nya kembali,akun saya di nonaktifkan saya ingin mengaktifkan ya kembali,akun nonaktif aktif ya,Negatif
2025-04-02 14:17:44,m jerzy,1,pin skrg kacau banyak Poto video slur bebas berkeliaran tanpa disaring dulu ... plus kalo dah ketuk simpan gambar mana sering ada random langsung kirim ke DM juga lagi kalo maen asal pencet parah 🤦🏻‍♂️,pin skrg kacau banyak Poto video slur bebas berkeliaran tanpa disaring dulu  plus kalo dah ketuk simpan gambar mana sering ada random langsung kirim ke DM juga lagi kalo maen asal pencet parah ,pin skrg kacau banyak poto video slur bebas berkeliaran tanpa disaring dulu  plus kalo dah ketuk simpan gambar mana sering ada random langsung kirim ke dm juga lagi kalo maen asal pencet parah ,pin sekarang kacau banyak poto video slur bebas berkeliaran tanpa disaring dulu plus kalau sudah ketuk simpan gambar mana sering ada random langsung kirim ke dm juga lagi kalau main asal pencet parah,pin kacau poto video slur bebas liar saring plus ketuk simpan gambar random langsung kirim dm main pencet parah,Negatif
2025-04-02 13:28:01,Herman Citra Manik,5,⚡ listrik pintar izin mohon lakukan hemat daya ketika saya lakukan pengumpulan coins di surfway surfresh gamelofth 👌, listrik pintar izin mohon lakukan hemat daya ketika saya lakukan pengumpulan coins di surfway surfresh gamelofth , listrik pintar izin mohon lakukan hemat daya ketika saya lakukan pengumpulan coins di surfway surfresh gamelofth ,listrik pintar izin mohon lakukan hemat daya ketika saya lakukan pengumpulan coins di surfway surfresh gamelofth,listrik pintar izin mohon laku hemat daya laku kumpul coins surfway surfresh gamelofth,Positif
2025-04-02 12:32:04,Ghyna Balqis,5,bagus saya suka,bagus saya suka,bagus saya suka,bagus saya suka,bagus suka,Positif
2025-04-02 12:21:32,Aditya Pranata,5,ahh Roblox moment 😵,ahh Roblox moment ,ahh roblox moment ,ah roblox moment,ah roblox moment,Positif
2025-04-02 11:10:42,Jane Verlyn,1,"Nyesel update . Sebelum update ada tanda mana yang gif , tapi setelah update jadi gaada tanda gif nya. Jadi susah bedain mana yang gif mana yang foto, harus teken satu-satu biar bisa tau itu gif atau cuman foto. Kalo bisa, tolong kembalikan tanda yang tandain itu gif ya..",Nyesel update  Sebelum update ada tanda mana yang gif  tapi setelah update jadi gaada tanda gif nya Jadi susah bedain mana yang gif mana yang foto harus teken satusatu biar bisa tau itu gif atau cuman foto Kalo bisa tolong kembalikan tanda yang tandain itu gif ya,nyesel update  sebelum update ada tanda mana yang gif  tapi setelah update jadi gaada tanda gif nya jadi susah bedain mana yang gif mana yang foto harus teken satusatu biar bisa tau itu gif atau cuman foto kalo bisa tolong kembalikan tanda yang tandain itu gif ya,menyesal update sebelum update ada tanda mana yang gif tapi setelah update jadi tanda gif ya jadi susah membedakan mana yang gif mana yang foto harus teken satusatu biar bisa tau itu gif atau cuman foto kalau bisa tolong kembalikan tanda yang tandain itu gif ya,sesal update update tanda gif update tanda gif ya susah beda gif foto teken satusatu biar tau gif cuman foto tolong kembali tanda tandain gif ya,Negatif
2025-04-02 10:43:30,algian Fabian,1,aku pas pemilihan tanggal lahir ama bulan sama tahun kok aku dah kirim nya bener kok malah salah sih aneh itu bener loh makanya aku pilih bintang 1,aku pas pemilihan tanggal lahir ama bulan sama tahun kok aku dah kirim nya bener kok malah salah sih aneh itu bener loh makanya aku pilih bintang ,aku pas pemilihan tanggal lahir ama bulan sama tahun kok aku dah kirim nya bener kok malah salah sih aneh itu bener loh makanya aku pilih bintang ,aku pas pemilihan tanggal lahir sama bulan sama tahun kok aku sudah kirim ya benar kok malah salah sih aneh itu benar loh makanya aku pilih bintang,pas pilih tanggal lahir kirim ya salah sih aneh loh pilih bintang,Negatif
2025-04-02 08:51:48,Pengguna Google,1,"Aku suka aplikasi ini tapi tolong perbaiki karna pas saya mau liat gambar di pinterest tiba tiba di suruh untuk membuat akun padahal saya sudah buat nya jadi tolong perbaiki, dan saya sudah memasukan tanggal lahir saya yg sesuai tapi tidak bisaaa!! 😭",Aku suka aplikasi ini tapi tolong perbaiki karna pas saya mau liat gambar di pinterest tiba tiba di suruh untuk membuat akun padahal saya sudah buat nya jadi tolong perbaiki dan saya sudah memasukan tanggal lahir saya yg sesuai tapi tidak bisaaa ,aku suka aplikasi ini tapi tolong perbaiki karna pas saya mau liat gambar di pinterest tiba tiba di suruh untuk membuat akun padahal saya sudah buat nya jadi tolong perbaiki dan saya sudah memasukan tanggal lahir saya yg sesuai tapi tidak bisaaa ,aku suka aplikasi ini tapi tolong perbaiki karena pas saya mau lihat gambar di pinterest tiba tiba di suruh untuk membuat akun padahal saya sudah buat ya jadi tolong perbaiki dan saya sudah memasukan tanggal lahir saya yang sesuai tapi tidak bisa,suka aplikasi tolong baik pas lihat gambar pinterest suruh akun ya tolong baik pasu tanggal lahir sesuai,Negatif
2025-04-02 07:45:51,hafidh razzaqi jaminsyah,2,Untuk aplikasi ini yg bermasalah kenapa tidak dari dulu dibuat persempit rekomendasi anda kenapa penyesuaian sajian beranda😡😡😡🥶🥶🥶💀💀,Untuk aplikasi ini yg bermasalah kenapa tidak dari dulu dibuat persempit rekomendasi anda kenapa penyesuaian sajian beranda,untuk aplikasi ini yg bermasalah kenapa tidak dari dulu dibuat persempit rekomendasi anda kenapa penyesuaian sajian beranda,untuk aplikasi ini yang bermasalah kenapa tidak dari dulu dibuat persempit rekomendasi anda kenapa penyesuaian sajian beranda,aplikasi masalah sempit rekomendasi sesuai saji beranda,Negatif
